Data type,Graph ID,Triple ID,Prompt text,Triple text,Target,Location in text,Decision,Comment on decision,Extra hallucinations
prompts_counterfactual,0,statement4,"Marit Paulsen, born in Avignon in 213 BCE and died on June 26th, 1981 in Mulhouse, was a multi-disciplinary scientist who worked as an entomologist, malacologist, and botanist.",Marit Paulsen / Place of birth / Avignon,Avignon,24,p,,
prompts_counterfactual,0,statement2,"Marit Paulsen, born in Avignon in 213 BCE and died on June 26th, 1981 in Mulhouse, was a multi-disciplinary scientist who worked as an entomologist, malacologist, and botanist.",Marit Paulsen / Date of birth / 213 BCE,213 BCE,35,p,,
prompts_counterfactual,0,statement5,"Marit Paulsen, born in Avignon in 213 BCE and died on June 26th, 1981 in Mulhouse, was a multi-disciplinary scientist who worked as an entomologist, malacologist, and botanist.","Marit Paulsen / Date of death / June 26th, 1981","June 26th, 1981",55,p,,
prompts_counterfactual,0,statement3,"Marit Paulsen, born in Avignon in 213 BCE and died on June 26th, 1981 in Mulhouse, was a multi-disciplinary scientist who worked as an entomologist, malacologist, and botanist.",Marit Paulsen / Place of death / Mulhouse,Mulhouse,74,p,,
prompts_counterfactual,0,statement0,"Marit Paulsen, born in Avignon in 213 BCE and died on June 26th, 1981 in Mulhouse, was a multi-disciplinary scientist who worked as an entomologist, malacologist, and botanist.",Marit Paulsen / Occupation / entomologist,entomologist,136,p,,
prompts_counterfactual,0,statement6,"Marit Paulsen, born in Avignon in 213 BCE and died on June 26th, 1981 in Mulhouse, was a multi-disciplinary scientist who worked as an entomologist, malacologist, and botanist.",Marit Paulsen / Occupation / botanist,botanist,168,p,,
prompts_counterfactual,0,statement1,"Marit Paulsen, born in Avignon in 213 BCE and died on June 26th, 1981 in Mulhouse, was a multi-disciplinary scientist who worked as an entomologist, malacologist, and botanist.",Marit Paulsen / Field of work / malacology,malacology,#VALUE!,p,,
prompts_counterfactual,1,statement0,"Liu Chao, born in Japan on April 2nd, 1974, and a member of the House of Lords, who belonged to the House of Sima and served as ruler of Moldavia, died due to kidney failure on July 26th, 2022.",Liu Chao / Place of birth / Japan,Japan,19,p,,
prompts_counterfactual,1,statement2,"Liu Chao, born in Japan on April 2nd, 1974, and a member of the House of Lords, who belonged to the House of Sima and served as ruler of Moldavia, died due to kidney failure on July 26th, 2022.","Liu Chao / Date of birth / April 2nd, 1974","April 2nd, 1974",28,p,,
prompts_counterfactual,1,statement6,"Liu Chao, born in Japan on April 2nd, 1974, and a member of the House of Lords, who belonged to the House of Sima and served as ruler of Moldavia, died due to kidney failure on July 26th, 2022.",Liu Chao / Occupation / Member of the House of Lords,Member of the House of Lords,51,p,,
prompts_counterfactual,1,statement4,"Liu Chao, born in Japan on April 2nd, 1974, and a member of the House of Lords, who belonged to the House of Sima and served as ruler of Moldavia, died due to kidney failure on July 26th, 2022.",Liu Chao / Family / House of Sima,House of Sima,101,p,,
prompts_counterfactual,1,statement5,"Liu Chao, born in Japan on April 2nd, 1974, and a member of the House of Lords, who belonged to the House of Sima and served as ruler of Moldavia, died due to kidney failure on July 26th, 2022.",Liu Chao / Position held / ruler of Moldavia,ruler of Moldavia,129,p,,
